ID,Player One Name,Player One Score,Player Two Name,Player Two Score,Created At
1,Yacine,1,Livie,0,2024-07-07 03:10:16.858921
2,Yacine,1,Livie,0,2024-07-07 03:10:42.891356
3,Yacine,1,Nelly,0,2024-07-07 03:12:23.286777
4,Yacine,1,Nelly,0,2024-07-07 03:24:42.754783
